doctor_id,name,specialization,hospital
D2000,Sarthak Thakkar,Neurologist,Fortis
D2001,Vivaan Bahri,Neurologist,Sahyadri
D2002,Ekalinga Krish,General Physician,Ruby Hall
D2003,Nicholas Sankaran,Cardiologist,Deenanath
D2004,Upkaar Batra,Neurologist,Sahyadri
D2005,Nathaniel Bhargava,Neurologist,Deenanath
D2006,Laksh Halder,Radiologist,Sahyadri
D2007,Chaitaly Tripathi,General Physician,Deenanath
D2008,Nikita Chadha,Radiologist,Sahyadri
D2009,Amaira Date,Orthopedic,Ruby Hall
D2010,Maanas Bajwa,General Physician,Apollo
D2011,Yauvani Minhas,Dermatologist,Manipal
D2012,Eshana Narasimhan,Radiologist,Sahyadri
D2013,Mohini Oommen,General Physician,Ruby Hall
D2014,Kamala Shan,Cardiologist,Ruby Hall
D2015,Arjun Atwal,Dermatologist,Deenanath
D2016,Vedika Iyer,Orthopedic,Deenanath
D2017,Udarsh Bawa,General Physician,Sahyadri
D2018,Gavin Rana,General Physician,Deenanath
D2019,Wyatt Rai,General Physician,Manipal
D2020,Advaith Gade,Cardiologist,Sahyadri
D2021,Jai Mitter,Cardiologist,Apollo
D2022,Abhiram Narayanan,Radiologist,Fortis
D2023,Nicholas Reddy,Neurologist,Sahyadri
D2024,Chandresh Chand,Dermatologist,Sahyadri
D2025,Chandani Chadha,Cardiologist,Ruby Hall
D2026,Amruta Pau,Dermatologist,Manipal
D2027,Harini Gole,Orthopedic,Ruby Hall
D2028,Triya Chhabra,Neurologist,Apollo
D2029,Zilmil Saran,General Physician,Manipal
D2030,Ishaan Sood,Orthopedic,Deenanath
D2031,Hemang Chopra,Orthopedic,Manipal
D2032,Tanish Sharaf,Dermatologist,Apollo
D2033,Rudra Nayak,Orthopedic,Ruby Hall
D2034,Nitara Lalla,General Physician,Deenanath
D2035,Atharv Vasa,Cardiologist,Apollo
D2036,Rayaan Kale,Orthopedic,Deenanath
D2037,Siddharth Sundaram,Cardiologist,Apollo
D2038,Rudra Bandi,Cardiologist,Manipal
D2039,Hardik Mall,Dermatologist,Apollo
D2040,Kritika Chanda,Cardiologist,Apollo
D2041,Daksha Sundaram,Cardiologist,Ruby Hall
D2042,Aryan Basak,Dermatologist,Apollo
D2043,Neel Thaman,Radiologist,Apollo
D2044,Chakrika Grewal,Radiologist,Apollo
D2045,Parth Garde,Radiologist,Sahyadri
D2046,Nikita Mani,General Physician,Deenanath
D2047,Ayush Korpal,Neurologist,Sahyadri
D2048,Urmi Lad,Dermatologist,Deenanath
D2049,Kashish Raju,Neurologist,Fortis
D2050,Lekha Chacko,Dermatologist,Ruby Hall
D2051,Isaiah Shetty,Cardiologist,Deenanath
D2052,Krisha Acharya,Neurologist,Apollo
D2053,Raagini Sen,Radiologist,Apollo
D2054,Zarna Malhotra,Orthopedic,Deenanath
D2055,Yashasvi Krish,General Physician,Apollo
D2056,Falguni Parikh,Radiologist,Ruby Hall
D2057,Ekalinga Rastogi,Orthopedic,Ruby Hall
D2058,Manya Mital,General Physician,Fortis
D2059,Praneel Agrawal,Cardiologist,Ruby Hall
D2060,Gunbir Kalita,Dermatologist,Ruby Hall
D2061,Andrew Bains,Neurologist,Apollo
D2062,Charvi Salvi,Orthopedic,Apollo
D2063,Leela Bains,Cardiologist,Manipal
D2064,Isha Sarkar,General Physician,Deenanath
D2065,Peter Pau,General Physician,Sahyadri
D2066,Anita Kar,Cardiologist,Manipal
D2067,Xalak Nigam,Dermatologist,Deenanath
D2068,Finn Peri,Neurologist,Apollo
D2069,Turvi Chokshi,Dermatologist,Sahyadri
D2070,Oni Amble,Dermatologist,Apollo
D2071,Xiti Aurora,Neurologist,Deenanath
D2072,Raksha Lall,Neurologist,Deenanath
D2073,Radhika Kala,Dermatologist,Sahyadri
D2074,Warhi Verma,General Physician,Sahyadri
D2075,Ati Gara,Cardiologist,Manipal
D2076,Ekaja Pandya,Orthopedic,Manipal
D2077,Champak Sibal,Radiologist,Apollo
D2078,Oliver Narang,Orthopedic,Ruby Hall
D2079,Kai Maharaj,Neurologist,Ruby Hall
D2080,Rushil Mander,Radiologist,Ruby Hall
D2081,Jairaj Ram,Cardiologist,Apollo
D2082,Umang Gera,Orthopedic,Fortis
D2083,Jeremiah Varty,Cardiologist,Manipal
D2084,Jeet Dave,General Physician,Ruby Hall
D2085,Pooja Iyer,Orthopedic,Deenanath
D2086,Pallavi Patel,Radiologist,Ruby Hall
D2087,Vyanjana Krishnan,Orthopedic,Manipal
D2088,Gautami Jani,General Physician,Apollo
D2089,Bimala Bail,Dermatologist,Fortis
D2090,Aayush Narula,General Physician,Ruby Hall
D2091,Aditya Parsa,General Physician,Ruby Hall
D2092,Bhavika Bhargava,Orthopedic,Manipal
D2093,Nitesh Ahuja,Dermatologist,Sahyadri
D2094,Victor Borde,Dermatologist,Ruby Hall
D2095,Yahvi Vasa,General Physician,Fortis
D2096,Nirja Butala,Dermatologist,Ruby Hall
D2097,Robert Rana,Radiologist,Apollo
D2098,Lopa Sani,General Physician,Manipal
D2099,Udant Salvi,Dermatologist,Apollo
D2100,Ijaya Walia,Radiologist,Fortis
D2101,Isha Arora,General Physician,Manipal
D2102,Saksham Rai,Orthopedic,Ruby Hall
D2103,Gunbir Tella,Orthopedic,Apollo
D2104,Vasatika Bali,Cardiologist,Ruby Hall
D2105,Bhanumati Karnik,Radiologist,Ruby Hall
D2106,Jagat Kala,Dermatologist,Sahyadri
D2107,Henry Raju,Neurologist,Ruby Hall
D2108,Ekantika Modi,Dermatologist,Deenanath
D2109,Krisha Natt,Cardiologist,Ruby Hall
D2110,Bimala Virk,General Physician,Apollo
D2111,Zashil Pal,General Physician,Manipal
D2112,Forum Buch,General Physician,Ruby Hall
D2113,Yasti Sani,Radiologist,Ruby Hall
D2114,Aadhya Mistry,Radiologist,Sahyadri
D2115,Saumya Wason,General Physician,Deenanath
D2116,Kabir Varty,Orthopedic,Ruby Hall
D2117,Rushil Om,Neurologist,Apollo
D2118,Luke Shankar,Orthopedic,Deenanath
D2119,Lohit Sha,Dermatologist,Apollo
D2120,Forum Pillai,Dermatologist,Apollo
D2121,Ayush Morar,Neurologist,Deenanath
D2122,Siddharth Karan,Radiologist,Deenanath
D2123,Umang Arora,Radiologist,Sahyadri
D2124,Robert Nair,Cardiologist,Apollo
D2125,Edhitha Mahajan,General Physician,Ruby Hall
D2126,Ria Doshi,Orthopedic,Ruby Hall
D2127,Pahal Kala,Orthopedic,Ruby Hall
D2128,Varsha Chowdhury,Radiologist,Deenanath
D2129,Ayaan Naidu,Cardiologist,Apollo
D2130,Raghav Apte,Radiologist,Manipal
